,author,stars,date,text
52,Jose F.,"Probabaly a bad idea to order delivery when I was in San Francisco, given all the options. Being under the weather I just wanted soup of some sort. This place had decent reviews. The ramen was not very flavorful. It was cold by the time I got it (which I can't really blame them) but it did affect the taste. The gyoza were good. Next time I might just walk somewhere.
",2018-02-01,2.0
53,David L.,"Mediocre overall. Service especially had room for improvement. Started out with takoyaki, which was mostly breading and cold in the middle. Not sure if it was the frozen kind, but felt like it. Ramen itself was pretty good, but nothing spectacular. High note was definitely the chasu. Really tender and melt in your mouth.
",2018-09-21,3.0
54,Ellie J.,"Surprisingly this sushi spot has great rolls and fresh fish! I would not recommend the wine here as they only have box wine! They have siracha and jalapeños on top of my spicy hamachi roll which makes me a happy camper! Especially for the price, you cannot beat it. Some of the fancier rolls are fantastic as well! I am always very impressed with the quality of fish and the staff is super sweet!
",2018-02-06,5.0
55,Kelly B.,"Great sushi and ramen...very clean and friendly staff...thank you so much for a great meal!
",2019-03-17,5.0
56,Yi K.,"My brother and I came in on a saturday for dinner. The second I opened the door all I could smell was CHLORINE. We were the only customers in the restaurant. The server was very attentive since we were the only ones. The food honestly was MEH. No presentations and water tasted like chlorine. My sushi rolls looked really ugly and my brother's tempura roll looked a little better than mine. Will I come back? Probably not.
",2018-05-26,3.0
57,Auden W.,"I stumbled upon this place a couple weeks ago looking for a catering service near the financial district for a party I was planning. This place was close and the name of this restaurant was very striking so i decided to give it a shot. When I called in to ask about their catering services the nice lady who picked up provided me with helpful and detailed information about the different platter options that they offered. I ended up getting the Mix Party Tray, which included a variety of their classic and specialty rolls as well as an assortment of nigiri. When the delivery came, we looked inside and the platters were arranged in a delightful display. All the rolls looked delicious and the fish on the nigiri was really fresh. The food was amazing, we wished we ordered more! Overall, we really enjoyed the catering service that DJ Sushi provided and are definitely going to order from them again soon. 

Tip! Call at least one day in advance for the party trays to allow for preparation!
",2016-09-15,5.0
58,Alison A.,"Eat24 order: drop down menu allowed for a 5pm delivery, but received a call 19 minutes prior to the 5pm delivery time stating that the kitchen opens at 5pm, so they would need time to cook and deliver the food. 

Other than being a little late to deliver for a team shindig, the spring rolls, chicken gyoza, and edamame were tasty and in plentiful supply. Delivery person was friendly and fast. Would order again--just be wary of delivery times. If you're catering for a party or something that needs to promptly start at 5pm, call ahead to confirm that they can fulfill the delivery.
",2016-10-26,3.0
59,Barack O.,"(d.b.a. Mura on Doordash)

Very poor value relative to other sushi/ramen places in SF. Rolls are tiny. Extreme skimping on ramen toppings - I got 3.5 sad slices of pork belly and half an egg. The noodles tasted no better than Maruchan instant.

Gyoza and teriyaki weren't much to write home about either.
",2017-10-19,2.0
60,Lisa H.,"Horrible service, very bad portions for the price you pay. Waitress refused to help us when she found out I had a Groupon
",2018-05-27,1.0
61,Nancy W.,"I wanted to check out restaurants in the North Beach neighborhood, since I work close by in FiDi. I was craving ramen and yelp pointed me in this direction. The place was a little hard to find at first, since it has no visible street sign. 

Inside, it's quite cozy with a tv in the middle of the room. Good for watching a game with a small group of friends. The sushi roll and ramen were both pretty standard, with the ramen leaning towards being a little salty. Since I came here with a groupon, my word of advice is that the daily special deal cannot be used simultaneously with the groupon offer.
",2016-08-26,3.0
62,Naty D.,"Came in on Sunday night and the place was pretty empty.  We ordered chasu ramen and sushi combo F or G with a large hot sake.

First the water tasted like soap.  Then we checked in on yelp to get the free edamame (miso soup or soda was the other options) which we never got. Ramen noodles were tough (different from al dente).  Sushi were on the small side especially for $17.50.  I'm glad I didn't get omakase, I would have been much more disappointed.  Rice on the sushi was not consistent and no good.  I bit into some hard rice kernels that may have been from the bottom of the pot, not sure.  All I know for sure is I'm never coming back.  Happy hour was all day Sunday and even at the happy hour prices, this place is not worth your hard earned money.  

Bad service and food.
",2016-08-01,1.0
63,Keagan G.,"Too cheap to give me a side of unagi sauce (eel sauce) on both occasions. I ordered 2 sushi rolls on both occasions, so 16 pieces of sushi, and I requested 2 sides of unagi sauce because I know that the container that they put the sauce in is really tiny, and they give me about 2 drops of sauce in ONE container for 16 pieces of sushi which was only enough sauce for ONE piece of sushi, so I spent $40 on dry sushi on both occasions because they are too cheap to give me what I asked for. 
Is pre-made unagi sauce that expensive that I can't get any? You wouldn't eat a dry hot dog without ketchup, would you? 
There are hundreds of sushi restaurants in San Francisco. I'll go to the proper ones that are run by people with brains. Such a shame that a business loses repeat local customers over 3 cents. It was a delivery order both times, so I couldn't request additional sauce.
",2018-05-14,1.0
